transaction_id,amount,price,product_id,transaction_date,transaction_type,account_id,portfolio_id
1,1,10000,1,2020-06-06,매수,1,1
2,1,20000,2,2020-06-08,매수,2,1
3,1,30000,3,2020-06-09,매수,3,1
4,1,40000,4,2020-06-10,매수,4,1
5,1,50000,5,2020-06-11,매수,5,1
6,1,60000,6,2020-06-12,매수,6,1
7,1,70000,7,2020-06-15,매수,7,1
8,1,80000,8,2020-06-16,매수,8,1
9,1,90000,9,2020-06-17,매수,9,1
10,1,100000,10,2020-06-18,매수,10,1
11,10,11000,1,2020-07-06,매도,1,1
12,10,21000,2,2020-07-08,매도,2,1
13,10,31000,3,2020-07-09,매도,3,1
14,10,39000,4,2020-07-10,매도,4,1
15,10,51000,5,2020-07-13,매도,5,1
16,10,61000,6,2020-07-14,매도,6,1
17,10,69000,7,2020-07-15,매도,7,1
18,10,81000,8,2020-07-16,매도,8,1
19,10,91000,9,2020-07-17,매도,9,1
20,10,120000,10,2020-07-18,매도,10,1
